Name,Alias,Nationality,Designation,Sanction Type,Source
Nasir Ali KHAN,KHAN,Unknown,Individual,SDNTK,USOFAC-SDN
Oscar MALHERBE DE LEON,BECERRA,Unknown,Individual,SDNTK,USOFAC-SDN
Alcides RAMON MAGANA,ALCIDES MAGANA,Unknown,Individual,SDNTK,USOFAC-SDN
UNITED SELF-DEFENSE FORCES OF COLOMBIA,AUTODEFENSAS UNIDAS DE COLOMBIA,Unknown,Entity,"SDGT, SDNTK",USOFAC-SDN
ASBAT AL-ANSAR,None,Unknown,Entity,"FTO, SDGT",USOFAC-SDN
SALAFIST GROUP FOR CALL AND COMBAT,GSPC,Unknown,Entity,"FTO, SDGT",USOFAC-SDN
LIBYAN ISLAMIC FIGHTING GROUP,None,Unknown,Entity,SDGT,USOFAC-SDN
AL-ITIHAAD AL-ISLAMIYA,AIAI,Unknown,Entity,SDGT,USOFAC-SDN
ISLAMIC ARMY OF ADEN,None,Unknown,Entity,SDGT,USOFAC-SDN
Sayf AL-ADL,AL-'ADIL,Unknown,Individual,SDGT,USOFAC-SDN
Mahfouz Ould AL-WALID,AL-SHANQITI,Mauritania,Individual,SDGT,USOFAC-SDN
Zayn al-Abidin Muhammad HUSAYN,HUSAIN,Palestinian,Individual,SDGT,USOFAC-SDN
Abd al-Hadi AL-IRAQI,AL-IRAQI,Iraq,Individual,SDGT,USOFAC-SDN
Thirwat Salah SHIHATA,ABDALLAH,Unknown,Individual,SDGT,USOFAC-SDN
Tariq Anwar al-Sayyid AHMAD,FATHI,Unknown,Individual,SDGT,USOFAC-SDN
MAKHTAB AL-KHIDAMAT/AL KIFAH,None,Unknown,Entity,SDGT,USOFAC-SDN
WAFA HUMANITARIAN ORGANIZATION,AL WAFA,Unknown,Entity,SDGT,USOFAC-SDN
AL RASHID TRUST,AL RASHEED TRUST,Unknown,Entity,SDGT,USOFAC-SDN
MAMOUN DARKAZANLI IMPORT-EXPORT COMPANY,DARKAZANLI COMPANY,Unknown,Entity,SDGT,USOFAC-SDN
Abdullah Ahmed ABDULLAH,ABU MARIAM,Unknown,Individual,SDGT,USOFAC-SDN
Ahmed Mohammed Hamed ALI,ABDUREHMAN,Unknown,Individual,SDGT,USOFAC-SDN
Ahmad Ibrahim AL-MUGHASSIL,AL-MUGHASSIL,Unknown,Individual,SDGT,USOFAC-SDN
Abdelkarim Hussein Mohamed AL-NASSER,None,Unknown,Individual,SDGT,USOFAC-SDN
Ibrahim Salih Mohammed AL-YACOUB,None,Unknown,Individual,SDGT,USOFAC-SDN
Ali ATWA,BOUSLIM,Unknown,Individual,SDGT,USOFAC-SDN
Ali Saed Bin Ali EL-HOORIE,AL-HOURI,Unknown,Individual,SDGT,USOFAC-SDN
Mustafa Mohamed FADHIL,ELBISHY,Unknown,Individual,SDGT,USOFAC-SDN
Ahmed Khalfan GHAILANI,GHILANI,Unknown,Individual,SDGT,USOFAC-SDN
Hasan IZZ-AL-DIN,"GARBAYA, AHMED",Unknown,Individual,SDGT,USOFAC-SDN
Fazul Abdullah MOHAMMED,FAZUL,Unknown,Individual,SDGT,USOFAC-SDN
Khalid Shaikh MOHAMMED,None,Unknown,Individual,SDGT,USOFAC-SDN
Abdul Rahman YASIN,YASIN,Unknown,Individual,SDGT,USOFAC-SDN
AL-HAMATI SWEETS BAKERIES,None,Unknown,Entity,SDGT,USOFAC-SDN
